[07-Jun-2025 15:29:34 Etc/GMT-3] PHP Warning:  Undefined variable $initialStatus in D:\OSPanel\home\valor.original\public\process_withdrawal.php on line 112
[08-Jun-2025 20:03:58 UTC] Exchange rates error: Currency USD not supported
[08-Jun-2025 20:11:21 UTC] Exchange rates error: Currency USD not supported
[08-Jun-2025 20:13:36 UTC] Exchange rates error: Currency USD not supported
[08-Jun-2025 20:15:52 UTC] Exchange rates error: Currency USD not supported
[08-Jun-2025 20:24:05 UTC] Currency USD not found in rates
[08-Jun-2025 20:33:24 UTC] Currency USD not found in rates
[08-Jun-2025 20:40:03 UTC] Currency USD not found in rates
[08-Jun-2025 20:47:25 UTC] Currency USD not found in rates
[30-Jul-2025 22:15:30 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:15:49 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:25:49 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:26:23 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:30:08 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:30:17 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:34:31 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:34:33 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:36:02 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:36:15 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:37:08 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:39:14 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:39:40 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:44:10 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:46:05 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:46:34 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:46:35 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:46:35 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:46:47 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:52:03 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:52:14 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:52:40 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:52:47 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:54:23 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:57:09 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 22:59:59 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:01:52 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:01:55 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:02:27 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:02:41 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:02:48 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:02:56 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:04:25 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:04:43 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:05:26 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:05:32 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:05:57 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:06:02 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:06:03 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:06:04 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:06:12 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:07:09 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:07:12 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
[30-Jul-2025 23:09:05 UTC] PHP Warning:  Undefined variable $body_class in /home/valorgames/public_html/index.php on line 113
